run_id,timestamp,measured_l_m,measured_w_m,measured_h_m,measured_vol_m3,actual_l_m,actual_w_m,actual_h_m,actual_vol_m3,err_l_m,err_w_m,err_h_m,err_vol_m3,err_l_pct,err_w_pct,err_h_pct,err_vol_pct,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,vertex_err_000,vertex_err_001,vertex_err_010,vertex_err_011,vertex_err_100,vertex_err_101,vertex_err_110,vertex_err_111,mean_vertex_err,max_vertex_err,occ_cells_2d,point_count_3d,notes
1,1777641599.391,0.8887,0.3629,0.4595,0.148183,0.2600,0.1800,0.3900,0.018252,0.6287,0.1829,0.0695,0.129931,241.82,101.61,17.81,711.87,0.2535,0.8135,0.2074,1.1422,1.1764,0.6668,0.5031,0.5355,0.3811,0.4229,0.5818,0.6100,0.4802,0.5140,0.5036,0.6100,130,340,
2,1777641706.549,0.9461,0.3644,0.4643,0.160050,0.2600,0.1800,0.3900,0.018252,0.6861,0.1844,0.0743,0.141798,263.90,102.42,19.04,776.89,0.1961,0.8113,0.2026,1.1422,1.1756,0.6668,0.5334,0.5658,0.4185,0.4591,0.5816,0.6114,0.4785,0.5143,0.5203,0.6114,157,526,
3,1777641800.739,0.9461,0.3644,0.6019,0.207486,0.2600,0.1800,0.3900,0.018252,0.6861,0.1844,0.2119,0.189234,263.90,102.42,54.33,1036.78,0.1961,0.8113,0.2026,1.1422,1.1756,0.8044,0.5334,0.6444,0.4185,0.5531,0.5816,0.6848,0.4785,0.5997,0.5617,0.6848,158,566,
4,1777642965.589,0.9931,0.4615,0.5068,0.232249,0.2600,0.1800,0.3900,0.018252,0.7331,0.2815,0.1168,0.213997,281.96,156.38,29.94,1172.46,0.1519,0.8106,0.2020,1.1450,1.2721,0.7087,0.5600,0.6119,0.4166,0.4841,0.5837,0.6336,0.4480,0.5114,0.5311,0.6336,127,487,
5,1777643078.215,1.0125,0.5204,0.5109,0.269177,0.2600,0.1800,0.3900,0.018252,0.7525,0.3404,0.1209,0.250925,289.41,189.09,31.00,1374.78,0.1275,0.8112,0.2033,1.1399,1.3316,0.7143,0.5756,0.6286,0.4272,0.4963,0.5804,0.6330,0.4336,0.5018,0.5346,0.6330,136,691,
6,1777643249.028,0.9172,0.4183,0.6202,0.237957,0.2600,0.1800,0.3900,0.018252,0.6572,0.2383,0.2302,0.219705,252.78,132.41,59.01,1203.73,0.1135,0.8104,0.2082,1.0307,1.2287,0.8283,0.5870,0.7024,0.4644,0.6037,0.5181,0.6459,0.3735,0.5369,0.5540,0.7024,131,542,
7,1777643344.386,1.0212,0.4186,0.6680,0.285581,0.2600,0.1800,0.3900,0.018252,0.7612,0.2386,0.2780,0.267329,292.76,132.58,71.28,1464.66,0.1149,0.8101,0.2079,1.1361,1.2287,0.8759,0.5861,0.7324,0.4630,0.6382,0.5803,0.7278,0.4556,0.6328,0.6020,0.7324,135,767,
8,1777643456.745,1.0275,0.4183,0.6677,0.287032,0.2600,0.1800,0.3900,0.018252,0.7675,0.2383,0.2777,0.268780,295.20,132.41,71.22,1472.61,0.1141,0.8104,0.2082,1.1416,1.2287,0.8759,0.5866,0.7327,0.4639,0.6387,0.5838,0.7305,0.4603,0.6361,0.6041,0.7327,161,974,
9,1777644205.568,0.4055,0.1463,0.3038,0.018023,0.2600,0.1800,0.3900,0.018252,0.1455,-0.0337,-0.0862,-0.000229,55.95,-18.72,-22.10,-1.26,0.4351,1.1153,0.2162,0.8406,1.2616,0.5200,0.2411,0.1682,0.2549,0.1874,0.2458,0.1748,0.2593,0.1934,0.2156,0.2593,41,151,
10,1777646435.022,0.5497,0.1679,0.6585,0.060791,0.2600,0.1800,0.3900,0.018252,0.2897,-0.0121,0.2685,0.042539,111.43,-6.70,68.84,233.07,0.3599,1.0545,0.2040,0.9096,1.2224,0.6585,0.2020,0.3360,0.2109,0.3414,0.2087,0.3400,0.2173,0.3454,0.2752,0.3454,46,192,2d_src=/global_costmap/costmap; 3D_min_z_clamped_to_0
11,1777646547.750,0.5490,0.1679,0.6585,0.060717,0.2600,0.1800,0.3900,0.018252,0.2890,-0.0121,0.2685,0.042465,111.17,-6.70,68.84,232.66,0.3599,1.0545,0.2040,0.9089,1.2224,0.6585,0.2020,0.3360,0.2109,0.3414,0.2082,0.3397,0.2168,0.3451,0.2750,0.3451,54,249,2d_src=/global_costmap/costmap; 3D_min_z_clamped_to_0
