run_id,timestamp,sensor,algo,run_id,coverage_pct,covered_cells,total_cells,elapsed_sec,cpu_avg_pct,mem_avg_pct
1,1780476637.712,camera,ours,1,89.39,154458,172800,722.7,42.4,44.3
2,1780478348.453,camera,ours,1,90.22,155892,172800,514.5,40.3,47.0
3,1780489544.655,camera,ours,1,88.30,152585,172800,554.5,34.3,46.3
4,1780638632.129,camera,ours,1,90.03,155566,172800,570.5,43.9,49.9
5,1780639418.529,camera,ours,1,88.23,152464,172800,522.5,46.6,51.3
6,1780643877.550,camera,baseline,1,89.12,153992,172800,636.6,39.5,53.1
7,1780644902.700,camera,baseline,1,90.48,156351,172800,600.6,41.9,54.8
8,1780657587.805,camera,baseline,1,92.80,160354,172800,558.6,45.9,42.3
9,1780658903.945,camera,baseline,1,93.79,162061,172800,586.6,49.2,41.8
10,1780663467.363,camera,baseline,1,89.43,154538,172800,586.5,38.7,45.9
11,1780732208.945,lidar,baseline,1,95.50,165028,172800,482.4,22.9,43.4
12,1780733018.502,lidar,baseline,1,98.98,171036,172800,510.5,26.0,45.9
13,1780733949.013,lidar,baseline,1,78.97,136465,172800,508.4,30.0,46.3
14,1780735036.589,lidar,baseline,1,99.94,172695,172800,466.4,31.4,46.2
