seq,target_x,target_y,reached_x,reached_y,elapsed_s,status,note
1,0.006821969360113144,-1.415082573890686,N/A,N/A,0.0,OK,
2,0.006821969360113144,0.23391745069622993,N/A,N/A,21.6,OK,
3,0.16582197174429894,0.17491744980216026,N/A,N/A,29.1,OK,
4,0.16582197174429894,-1.4050825737416743,N/A,N/A,44.0,OK,
5,0.32582197412848474,-1.365082573145628,N/A,N/A,52.5,OK,
6,0.32582197412848474,0.18491744995117188,N/A,N/A,69.6,OK,
7,0.48582197651267056,0.18491744995117188,N/A,N/A,76.6,OK,
8,0.48582197651267056,-1.415082573890686,N/A,N/A,93.4,OK,
9,0.6458219788968563,-1.415082573890686,N/A,N/A,101.4,OK,
10,0.6458219788968563,0.22491745054721834,N/A,N/A,118.9,OK,
11,0.8048219812810421,0.283917451441288,N/A,N/A,125.3,OK,
12,0.8048219812810421,-1.415082573890686,N/A,N/A,141.7,OK,
13,0.8568219820261002,-1.415082573890686,N/A,N/A,154.7,OK,
14,0.8568219820261002,-0.6170825619697571,N/A,N/A,166.1,OK,
15,0.9933219840750098,-0.7900825645774603,N/A,N/A,176.5,OK,
16,0.9933219840750098,-1.31508257240057,N/A,N/A,184.1,OK,
17,1.1308219861239195,-1.2650825716555119,N/A,N/A,192.3,OK,
18,1.1308219861239195,-0.8650825656950474,N/A,N/A,200.4,OK,
19,1.2683219881728292,-0.8525825655087829,N/A,N/A,206.8,OK,
20,1.2683219881728292,-1.2525825714692473,N/A,N/A,216.6,OK,
21,1.404821990221739,-1.2650825716555119,N/A,N/A,224.2,OK,
22,1.404821990221739,-0.7650825642049313,N/A,N/A,233.3,OK,
23,1.4568219909667968,-1.31508257240057,N/A,N/A,255.4,OK,
24,1.4568219909667968,0.2839174514412881,N/A,N/A,278.2,OK,
25,1.5028083808271049,0.20942993200588944,N/A,N/A,290.8,OK,
26,1.605821993201971,-1.2650825716555119,N/A,N/A,305.2,OK,
27,1.7558219954371452,-1.31508257240057,N/A,N/A,311.9,OK,
28,1.7558219954371452,0.33491745218634605,N/A,N/A,327.9,OK,
29,1.9058219976723194,0.284917451441288,N/A,N/A,335.7,OK,
30,1.9058219976723194,-1.365082573145628,N/A,N/A,350.6,OK,
31,2.0558219999074936,-1.365082573145628,N/A,N/A,358.2,OK,
32,2.0558219999074936,0.23491745069622993,N/A,N/A,374.0,OK,
33,2.2058220021426678,0.23491745069622993,N/A,N/A,381.4,OK,
34,2.2058220021426678,-1.365082573145628,N/A,N/A,397.2,OK,
35,2.354822004377842,-1.415082573890686,N/A,N/A,421.9,OK,
36,2.354822004377842,0.23491745069622993,N/A,N/A,437.3,OK,
37,0.8568219820261002,-0.41308255898952484,N/A,N/A,462.9,OK,
38,0.8568219820261002,0.283917451441288,N/A,N/A,523.0,FAIL,result_timeout
39,1.0224886511762936,0.18491744995117188,N/A,N/A,524.3,OK,
40,0.8530673890895457,0.11508159533387641,N/A,N/A,534.5,OK,
41,0.8558219820261002,0.13491744920611382,N/A,N/A,550.5,OK,
42,0.9058219827711582,0.13491744920611382,N/A,N/A,558.0,OK,
43,0.9058219827711582,0.13491744920611382,N/A,N/A,563.2,OK,
44,0.9058219827711582,0.13491744920611382,N/A,N/A,569.6,OK,
