timestamp,segment_time,actual_x,actual_y,actual_yaw,theo_x,theo_y,theo_yaw,err_x,err_y,err_yaw
1777632158.3097682,0.011,0.0000,0.0000,0.0247,0.0000,0.0000,0.0138,0.0000,0.0000,0.0110
1777632159.3099904,1.011,0.0000,0.0000,0.2595,0.2565,0.0000,0.0000,-0.2565,0.0000,0.2595
1777632160.3115518,2.013,0.0062,0.0002,0.0220,0.5169,0.0000,0.0000,-0.5107,0.0002,0.0220
1777632161.3188105,3.020,0.0062,0.0002,0.0220,0.7785,0.0000,0.0000,-0.7723,0.0002,0.0220
1777632162.3203192,4.022,0.2775,-0.0098,0.0131,1.0392,0.0000,0.0000,-0.7617,-0.0098,0.0131
1777632163.3590777,5.060,0.2775,-0.0098,0.0131,1.3092,0.0000,0.0000,-1.0317,-0.0098,0.0131
1777632164.40848,6.110,0.6747,-0.0011,0.0183,1.5821,0.0000,0.0000,-0.9074,-0.0011,0.0183
1777632165.419234,7.120,0.6747,-0.0011,0.0183,1.8000,0.0000,-0.1726,-1.1253,-0.0011,0.1910
1777632166.45907,8.160,1.0311,0.0011,-0.0021,1.8000,0.0000,-1.2125,-0.7689,0.0011,1.2104
1777632167.465508,9.167,1.4062,0.0022,0.0113,1.8000,0.0000,-1.5708,-0.3938,0.0022,1.5821
1777632168.5078707,10.209,1.4062,0.0022,0.0113,1.8000,0.0000,-1.5708,-0.3938,0.0022,1.5821
1777632169.5091648,11.210,1.6729,0.0023,-0.0124,1.8000,0.0000,-1.5708,-0.1271,0.0023,1.5584
1777632170.5106473,12.212,1.6729,0.0023,-0.0124,1.8000,0.0000,-1.5708,-0.1271,0.0023,1.5584
1777632171.5157878,13.217,1.7042,0.0019,-0.5487,1.8000,0.0000,-1.5708,-0.0958,0.0019,1.0221
1777632172.520833,14.222,1.7042,0.0019,-0.5487,1.8000,0.0000,-1.5708,-0.0958,0.0019,1.0221
1777632173.4325285,0.006,1.7043,0.0021,-1.4211,1.7043,0.0021,-1.4267,0.0000,0.0000,0.0056
1777632174.439561,1.013,1.7038,-0.0358,-1.6299,1.7280,-0.2459,-1.4755,-0.0242,0.2101,-0.1543
1777632175.4577448,2.031,1.6942,-0.2106,-1.5902,1.7531,-0.5095,-1.4755,-0.0589,0.2989,-0.1147
1777632176.461161,3.034,1.6942,-0.2106,-1.5902,1.7779,-0.7692,-1.4755,-0.0837,0.5586,-0.1147
1777632177.4667912,4.040,1.6942,-0.2106,-1.5902,1.8000,-1.0000,-1.5893,-0.1058,0.7894,-0.0009
1777632178.5078526,5.081,1.7192,-0.7423,-1.2948,1.8000,-1.0000,-2.6304,-0.0808,0.2577,1.3357
1777632179.5092912,6.082,1.7498,-0.8342,-1.2462,1.8000,-1.0000,-3.1416,-0.0502,0.1658,1.8954
1777632180.5350778,7.108,1.7682,-0.8913,-1.2769,1.8000,-1.0000,-3.1416,-0.0318,0.1087,1.8647
1777632181.560133,8.133,1.7746,-0.9125,-1.5116,1.8000,-1.0000,-3.1416,-0.0254,0.0875,1.6299
1777632182.560488,9.134,1.7746,-0.9124,-1.7628,1.8000,-1.0000,-3.1416,-0.0254,0.0876,1.3788
1777632183.6178956,10.191,1.7746,-0.9124,-1.7628,1.8000,-1.0000,-3.1416,-0.0254,0.0876,1.3788
1777632184.6330838,11.206,1.7747,-0.9125,-2.7528,1.8000,-1.0000,-3.1416,-0.0253,0.0875,0.3888
1777632184.7472842,0.012,1.7747,-0.9125,-2.7528,1.7747,-0.9125,-2.7649,0.0000,0.0000,0.0121
1777632185.7492232,1.014,1.7747,-0.9125,-2.7528,1.5996,-0.9211,-3.0923,0.1752,0.0086,0.3395
1777632186.7598445,2.025,1.7747,-0.9125,-2.7528,1.3371,-0.9341,-3.0923,0.4376,0.0216,0.3395
